CDSACCNO,precision@k,recall@k,num_test_items,portfolio_size,recommendations
BMS-17107-LI/00,0.0,0.0,1,45,"['AFS', 'AMF', 'LMF', 'CALT', 'PEG', 'PALM', 'ALLI', 'CINV', 'ASIY', 'WAPO']"
BMS-17113-LI/00,0.0,0.0,1,17,"['KHL', 'SEYB', 'GHLL', 'DFCC', 'UBC', 'HOPL', 'MARA', 'BRWN', 'HNB', 'NTB']"
BMS-17168-LI/00,0.0,0.0,1,14,"['REEF', 'AMF', 'MARA', 'KZOO', 'SHOT', 'PABC', 'JETS', 'PALM', 'WAPO', 'CITH']"
BMS-17178-LI/00,0.0,0.0,1,9,"['CIT', 'PEG', 'RPBH', 'BRR', 'RGEM', 'SIGV', 'AUTO', 'HARI', 'SWAD', 'ATLL']"
BMS-17205-LI/00,0.0,0.0,1,22,"['RIL', 'COCR', 'PINS', 'PLC', 'MARA', 'PABC', 'CALT', 'KZOO', 'ALLI', 'GRAN']"
BMS-17246-LI/00,0.0,0.0,1,25,"['SFIN', 'CSD', 'PINS', 'SDB', 'UAL', 'MADU', 'AMSL', 'PLC', 'SERV', 'ALLI']"
BMS-17248-LI/00,0.0,0.0,1,13,"['MBSL', 'UML', 'WAPO', 'NIFL', 'AFSL', 'SFCL', 'ACAP', 'PMB', 'CIT', 'JINS']"
BMS-17252-LI/00,0.0,0.0,1,14,"['AMF', 'PACK', 'BOGA', 'CHOT', 'ASCO', 'STAF', 'LWL', 'AFS', 'WAPO', 'SLTL']"
BMS-17262-LI/00,0.0,0.0,1,15,"['TPL', 'DIST', 'VPEL', 'CARG', 'SEYB', 'CTC', 'GRAN', 'LWL', 'SDB', 'TILE']"
BMS-17266-LI/00,0.0,0.0,1,44,"['LVEN', 'KDL', 'WAPO', 'SIL', 'AHPL', 'CARG', 'JKL', 'CONN', 'KFP', 'GREG']"
BMS-17286-LI/00,0.0,0.0,1,17,"['ALLI', 'SLTL', 'SFCL', 'CFIN', 'NIFL', 'HAYL', 'SELI', 'CDB', 'KZOO', 'CIND']"
BMS-17294-LI/00,0.0,0.0,1,18,"['BFN', 'HOPL', 'ATL', 'KDL', 'BOPL', 'AFSL', 'ATLL', 'SING', 'MAL', 'LDEV']"
BMS-17368-LI/00,0.0,0.0,1,23,"['MAL', 'DIAL', 'SERV', 'BERU', 'AAIC', 'KAHA', 'AHUN', 'RAL', 'TESS', 'CONN']"
BMS-17472-LI/00,0.0,0.0,1,19,"['GRAN', 'LUMX', 'GLAS', 'TJL', 'CCS', 'TAFL', 'DIAL', 'MGT', 'HAYC', 'LMF']"
BMS-17475-LI/00,0.0,0.0,1,19,"['DIAL', 'ONAL', 'SINI', 'BOPL', 'UDPL', 'MASK', 'LMF', 'CTBL', 'CTEA', 'LWL']"
BMS-17479-LI/01,0.0,0.0,1,34,"['PEG', 'KHC', 'MRH', 'TRAN', 'RPBH', 'SHAW', 'AFS', 'LHL', 'UAL', 'TAJ']"
